Institution,Average net price-students awarded grant or scholarship aid  2020-21,Average net price-students awarded grant or scholarship aid  2019-20,Average net price-students awarded grant or scholarship aid  2018-19,State abbreviation,Sector of institution,Level of institution,Degree-granting status,Institution size category,Institution name,Longitude location of institution,Latitude location of institution,Total price for in-state students living on campus 2021-22,Total price for out-of-state students living on campus 2021-22,Total price for in-state students living off campus (not with family)  2021-22,Total price for out-of-state students living off campus (not with family)  2021-22,Total price for in-state students living off campus (with family)  2021-22,Total price for out-of-state students living off campus (with family)  2021-22,Total price for in-state students living on campus 2020-21,Total price for out-of-state students living on campus 2020-21,Total price for in-state students living off campus (not with family)  2020-21,Total price for out-of-state students living off campus (not with family)  2020-21,Total price for in-state students living off campus (with family)  2020-21,Total price for out-of-state students living off campus (with family)  2020-21,Average net price-students awarded grant or scholarship aid  2017-18,Average net price-students awarded grant or scholarship aid 2016-17,Total price for in-state students living on campus 2019-20,Total price for out-of-state students living on campus 2019-20,Total price for in-state students living off campus (not with family) 2019-20,Total price for out-of-state students living off campus (not with family) 2019-20,Total price for in-state students living off campus (with family) 2019-20,Total price for out-of-state students living off campus (with family) 2019-20,Average net price-students awarded grant or scholarship aid 2015-16,Total price for in-state students living on campus 2018-19,Total price for out-of-state students living on campus 2018-19,Total price for in-state students living off campus (not with family) 2018-19,Total price for out-of-state students living off campus (not with family) 2018-19,Total price for in-state students living off campus (with family) 2018-19,Total price for out-of-state students living off campus (with family) 2018-19,Total price for in-state students living on campus 2017-18,Total price for out-of-state students living on campus 2017-18,Total price for in-state students living off campus (not with family) 2017-18,Total price for out-of-state students living off campus (not with family) 2017-18,Total price for in-state students living off campus (with family) 2017-18,Total price for out-of-state students living off campus (with family) 2017-18,Total price for in-state students living on campus 2016-17,Total price for out-of-state students living on campus 2016-17,Total price for in-state students living off campus (not with family) 2016-17,Total price for out-of-state students living off campus (not with family) 2016-17,Total price for in-state students living off campus (with family) 2016-17,Total price for out-of-state students living off campus (with family) 2016-17,Books and supplies 2021-22,Books and supplies 2020-21,Books and supplies 2019-20,Books and supplies 2018-19,Books and supplies 2017-18,Books and supplies 2016-17,Books and supplies 2015-16,
Nazarene Bible College,,,,CO,2,1,1,1,Nazarene Bible College,-104.803251,38.944824,,,24135,24135,14685,14685,,,24135,24135,14685,14685,,,,,25180,25180,15180,15180,,,,26860,26860,16860,16860,,,26110,26110,16660,16660,,,25870,25870,16420,16420,990,990,990,990,1500,1500,1500,
Nebraska College of Technical Agriculture,12603,12912,12865,NE,4,2,1,1,Nebraska College of Technical Agriculture,-100.510409,40.635454,18501,18501,17577,17577,10195,10195,18151,18151,17477,17477,10095,10095,,,17707,17707,17297,17297,9917,9917,11007,17836,17836,16734,16734,8076,8076,16770,16770,16352,16352,7872,7872,16408,21286,15990,20868,7910,12788,828,728,728,1010,1010,1000,1000,
Nebraska Indian Community College,8080,8722,12708,NE,4,2,1,1,Nebraska Indian Community College,-96.351760,42.116770,,,30344,30344,12989,12989,,,30344,30344,12989,12989,,,,,26041,26041,13323,13323,13835,,,26041,26041,13323,13323,,,26041,26041,13323,13323,,,22322,22322,11546,11546,,,,,,,,
Neosho County Community College,9032,9503,8930,KS,4,2,1,2,Neosho County Community College,-95.464976,37.670672,16718,16718,18778,18778,10378,10378,16600,16600,18460,18460,10260,10260,,,16316,16316,18142,18142,10046,10046,8723,15792,15792,17672,17672,9592,9592,15422,15422,17322,17322,9322,9322,15068,15068,16868,16868,9068,9068,1106,1100,1100,1100,1190,1090,1080,
Neumont College of Computer Science,,,,UT,3,1,1,1,Neumont College of Computer Science,-111.890573,40.766096,39659,39659,38323,38323,30611,30611,39072,39072,37632,37632,30024,30024,23855,24396,38294,38294,36726,36726,29246,29246,,33878,33878,36302,36302,28990,28990,33734,33734,36102,36102,28950,28950,33606,33606,35934,35934,28910,28910,1200,1200,1200,1200,1200,1200,1200,
New Hope Christian College-Eugene,,,,OR,2,1,1,1,New Hope Christian College-Eugene,-123.153550,44.032674,27000,27000,29000,29000,20700,20700,27000,27000,29000,29000,20700,20700,16267,18127,27000,27000,29000,29000,20700,20700,,25930,25930,27930,27930,19630,19630,25930,25930,27930,27930,19630,19630,25130,25130,27330,27330,19030,19030,1000,1000,1000,800,800,800,800,
New Mexico Junior College,5837,5225,5660,NM,4,2,1,2,New Mexico Junior College,-103.182896,32.757808,10026,10386,14745,15105,5626,5986,10178,10266,14897,14985,5778,5866,,,9502,9694,14421,14613,5302,5494,6510,9502,9694,14421,14613,5302,5494,9502,9694,14421,14613,5302,5494,9054,9246,15104,15296,4904,5096,1680,1680,1500,1500,1500,1000,1200,
New Mexico Military Institute,6628,7775,7164,NM,4,2,1,1,New Mexico Military Institute,-104.524448,33.409617,18891,25943,,,,,18392,24786,,,,,,,17548,24030,,,,,4693,13206,23210,,,,,12743,21726,,,,,13566,19500,,,,,1100,1100,1100,1100,1100,1100,1100,
New Mexico State University-Alamogordo,6359,7841,6992,NM,4,2,1,1,New Mexico State University-Alamogordo,-105.926241,32.920330,,,16806,19758,7908,10860,,,17073,20025,7935,10887,,,,,16522,19474,8080,11032,7474,,,16402,19354,7866,10818,,,15900,18852,7436,10388,,,15808,18760,7390,10342,1240,1240,1240,1250,1250,1298,1206,
New Mexico State University-Dona Ana,6147,5869,6126,NM,4,2,1,3,New Mexico State University-Dona Ana,-106.737172,32.354486,,,16869,20373,7644,11148,,,16754,20258,7671,11175,,,,,16678,20182,7816,11320,5753,,,16754,20258,7596,11100,,,16152,19560,7100,10508,,,15974,19190,7030,10246,1240,1240,1240,1250,1250,1298,1206,
New Mexico State University-Grants,5808,6662,5379,NM,4,2,1,1,New Mexico State University-Grants,-107.843638,35.165965,,,15730,17554,7764,9588,,,15702,17526,7791,9615,,,,,15734,17558,7936,9760,6063,,,15786,17610,7722,9546,,,14836,16660,7292,9116,,,14430,16254,7174,8998,1240,1240,1240,1250,1250,1298,1206,
New River Community and Technical College,4237,3155,4020,WV,4,2,1,2,New River Community and Technical College,-81.136085,37.767670,,,13090,15746,8790,11446,,,12872,15400,8572,11100,,,,,12622,15150,8422,10950,4397,,,12536,15150,8336,10950,,,12016,12884,7816,8684,,,11966,12834,7816,8684,1400,1400,1350,1350,1310,1350,1300,
New River Community College,6730,6742,6907,VA,4,2,1,2,New River Community College,-80.696050,37.105239,,,18717,24719,12717,18719,,,15717,21719,11117,17119,,,,,15717,21719,11117,17119,7132,,,15717,21645,11117,17045,,,15605,21533,11005,16933,,,15484,21382,10884,16782,2000,1800,1800,1800,1800,1800,1800,
New York Conservatory for Dramatic Arts,,,,NY,6,2,1,1,New York Conservatory for Dramatic Arts,-73.993388,40.740148,,,61757,61757,41757,41757,,,56310,56310,39910,39910,33583,42204,57011,57011,57011,57011,38521,38521,,,,55802,55802,37202,37202,,,53227,53227,36167,36167,53620,53620,53620,53620,34072,34072,250,250,250,250,250,250,250,
New York Seminary,,,,NY,5,2,1,1,New York Seminary,-73.977011,40.631930,20300,20300,31150,31150,17700,17700,20100,20100,30886,30886,17700,17700,,,19150,19150,29760,29760,17000,17000,,,,,,,,,,,,,,,,,,,,200,200,200,200,200,200,,
NHTI-Concord's Community College,17874,18171,18585,NH,4,2,1,2,NHTI-Concord's Community College,-71.531979,43.223621,23214,31464,31504,39754,15860,24110,23272,31522,31056,39306,16006,24256,,,22814,31064,30696,38946,16106,24356,15542,21792,30592,30352,39152,16096,24896,21536,30112,29668,38244,15889,24465,20914,29074,28907,37067,15569,23729,1400,1400,1400,1400,1400,1400,1400,
Niagara County Community College,6151,4995,5129,NY,4,2,1,2,Niagara County Community College,-78.875790,43.147701,,,20310,25254,8980,13924,22865,27617,20865,25617,8551,13303,,,,,18105,22665,8313,12873,5753,,,19265,23657,7798,12190,,,18946,25282,7573,13909,,,18091,24211,6893,13013,1500,1500,1500,1500,1500,1000,1000,
Nicolet Area Technical College,5933,7414,7002,WI,4,2,1,2,Nicolet Area Technical College,-89.425055,45.609542,,,16470,18754,9498,11782,,,16420,18672,9632,11884,,,,,16234,18454,9556,11776,7251,,,17206,19408,9798,12000,,,17796,20235,10538,12977,,,17398,19719,10244,12565,1592,1619,1654,1600,1939,1818,1742,
Norco College,7404,8497,7086,CA,4,2,1,3,Norco College,-117.570212,33.917387,,,26406,35106,6822,15522,,,26358,34308,6664,14614,,,,,26612,34562,8090,16040,7337,,,24514,32254,7704,15444,,,24200,31220,7648,14668,,,23026,29356,7476,13806,1126,1080,1972,1918,1854,1792,1764,
Normandale Community College,12354,10487,12269,MN,4,2,1,3,Normandale Community College,-93.331673,44.829706,,,22055,22055,13795,13795,,,21371,21371,13835,13835,,,,,20124,20124,13282,13282,11915,,,22613,22613,14353,14353,,,21972,21972,13926,13926,,,21568,21568,13542,13542,1000,1000,1000,1000,1000,1000,1458,
North Arkansas College,10461,6750,4955,AR,4,2,1,2,North Arkansas College,-93.088440,36.219909,,,20669,22769,11707,13807,,,20453,22553,11605,13705,,,,,17930,19610,9076,10756,4097,,,17452,19204,8839,10591,,,17093,18845,8650,10402,,,16907,18611,8489,10193,1307,1290,1200,1168,1145,1142,1142,
North Central Kansas Technical College,13465,12518,12006,KS,4,2,1,1,North Central Kansas Technical College,-98.110826,39.482419,20682,20682,20682,20682,14877,14877,18744,18744,18744,18744,14039,14039,,,17458,17458,17458,17458,12753,12753,11961,16974,16974,16974,16974,12267,12267,16779,16779,16779,16779,12072,12072,16456,16456,16456,16456,11749,11749,2300,2150,1790,1560,1490,1490,1450,
North Central Michigan College,5019,3919,3672,MI,4,2,1,2,North Central Michigan College,-84.954183,45.361727,16294,18114,15346,17166,10408,12228,15942,17734,15188,16980,10256,12048,,,15333,17069,14585,16321,9735,11471,3145,14939,16591,14049,15701,9349,11001,15022,16702,14032,15712,9432,11112,14658,16248,13258,14848,9058,10648,1423,1423,1390,1350,1310,1300,1300,
North Central Missouri College,9066,9076,8679,MO,4,2,1,2,North Central Missouri College,-93.617353,40.078096,18301,19411,21785,22895,13721,14831,17361,18471,21689,22799,12857,13967,,,17437,18367,20935,21865,12359,13289,9016,16907,17807,20359,21259,11687,12587,16188,17088,19550,20450,10910,11810,14820,15990,18093,19263,10061,11231,787,889,918,932,944,972,1024,
North Central State College,4081,5189,4279,OH,1,1,1,2,North Central State College,-82.581582,40.798777,,,15293,19532,7501,11740,,,13162,17442,8260,12540,,,,,13880,18878,8978,13976,4724,,,12964,16962,7816,11814,,,12285,15875,7383,10973,,,12285,15875,7383,10973,1000,1500,1500,1500,1500,1500,1500,
North Central Texas College,5778,6285,4826,TX,4,2,1,3,North Central Texas College,-97.165800,33.618800,14605,17125,15924,18444,9930,12450,14220,16740,15924,18444,9930,12450,,,14220,16740,15924,18444,9930,12450,4913,12620,15140,14986,17506,9546,12066,12356,14756,14634,17034,8818,11218,11876,13988,14842,16954,9084,11196,1680,1680,1680,1680,1680,1500,1500,
North Country Community College,12647,11472,11100,NY,4,2,1,2,North Country Community College,-74.119981,44.318645,22362,29534,22362,29534,11062,18234,21562,28734,21562,28734,10862,18034,,,20908,27804,20908,27804,10558,17454,9413,20258,26888,20267,26897,9908,16538,19264,25640,19264,25640,9314,15690,19001,25251,19001,25251,9051,15301,1700,1700,1700,1500,1500,1500,1400,
North Dakota State College of Science,11537,10630,10233,ND,4,2,1,2,North Dakota State College of Science,-96.607379,46.272158,16720,17680,16720,17680,10052,11012,16376,17299,16376,17299,9850,10773,,,16075,16980,16075,16980,9717,10622,10248,15755,23025,15755,23025,9535,16805,15440,22430,15440,22430,9282,16272,15395,22757,15395,22757,9097,16459,1000,1000,1000,1000,1000,1000,1000,
North Florida College,3910,3060,3066,FL,1,1,1,2,North Florida College,-83.420732,30.473841,,,12754,21100,7354,15700,,,12754,21100,7354,15700,,,,,12754,21100,7354,15700,4569,,,12754,21100,7354,15700,,,12754,21100,7354,15700,,,12754,21100,7354,15700,1400,1400,1400,1400,1400,1400,1400,
North Georgia Technical College,5401,4681,3644,GA,4,2,1,2,North Georgia Technical College,-83.530118,34.639721,10764,13164,14644,17044,9652,12052,10710,13110,14491,16891,9544,11944,,,10647,13047,14400,16800,9439,11839,6792,10331,12467,14007,16143,9071,11207,10270,12406,13313,15449,9851,11987,12134,14270,14855,16991,9972,12108,837,837,837,837,839,837,836,
North Hennepin Community College,11368,9601,10004,MN,4,2,1,3,North Hennepin Community College,-93.374536,45.106937,,,19946,19946,11942,11942,,,19660,19660,11656,11656,,,,,19630,19630,11626,11626,9807,,,19497,19497,11493,11493,,,19484,19484,11480,11480,,,19431,19431,11427,11427,1000,1000,1000,1000,1000,1000,1000,
North Idaho College,7514,7063,6909,ID,4,2,1,2,North Idaho College,-116.798905,47.675690,16526,20302,16486,20262,8926,12702,16534,20310,16486,20262,8926,12702,,,16466,20242,16486,20262,8926,12702,8474,16342,20118,16402,20178,8842,12618,16514,20212,16254,19952,8694,12392,16090,19626,16150,19686,8590,12126,1248,1248,1248,1248,1248,1248,1248,
North Iowa Area Community College,8712,8456,8399,IA,4,2,1,2,North Iowa Area Community College,-93.131260,43.157169,17035,19611,16287,18863,10840,13416,16818,19304,16005,18491,10612,13098,,,16579,18975,15677,18073,10358,12754,8957,16103,18416,15295,17608,10075,12388,15647,17863,14954,17170,9811,12027,15174,17284,14572,16682,9520,11630,1044,1034,1020,1001,986,969,955,
North Seattle College,6220,5132,5817,WA,1,1,1,2,North Seattle College,-122.333584,47.698408,,,20456,20456,9206,9206,,,19780,19780,8530,8530,,,,,20282,20282,9032,9032,5430,,,19641,19641,8691,8691,,,19212,19212,8472,8472,,,18540,18947,7939,8346,900,900,900,870,840,825,1050,
North Shore Community College,7938,7261,8199,MA,4,2,1,2,North Shore Community College,-70.968044,42.590103,,,21252,26820,9252,14820,,,21252,26820,9252,14820,,,,,21156,26724,9156,14724,7969,,,21084,26652,9084,14652,,,20844,26412,8844,14412,,,20748,26316,8748,14316,1200,1200,1200,1200,1200,1200,1200,
Northampton County Area Community College,7574,8692,8647,PA,4,2,1,3,Northampton County Area Community College,-75.323510,40.672530,28051,32971,26109,31029,18909,23829,25740,30540,25468,30268,16380,21180,,,25428,30108,25428,30108,16080,20760,7488,24964,29494,24964,29494,15870,20400,24364,28744,24364,28744,15540,19920,23666,27926,23666,27926,15270,19530,1800,1800,1800,1800,1800,1800,1600,
Northcentral Technical College,10829,10011,9820,WI,4,2,1,3,Northcentral Technical College,-89.646369,44.986458,15863,17555,17267,18959,9423,11115,15747,17413,17135,18801,9499,11165,,,15684,17322,16945,18583,9434,11072,10346,16142,17752,16629,18239,9222,10832,15340,16926,16333,17919,9075,10661,15013,16908,16987,18882,9833,11728,1939,1973,2015,1960,1939,1819,1742,
Northeast Alabama Community College,3109,3351,3137,AL,4,2,1,2,Northeast Alabama Community College,-85.911664,34.545471,,,13160,17150,9660,13650,,,11760,15750,9260,13250,,,,,11700,15630,9200,13130,2958,,,11640,15510,9140,13010,,,11340,14910,8840,12410,,,10850,14360,8350,11860,2400,2400,2400,2400,2400,1970,1970,
Northeast Community College,9158,8813,8447,NE,4,2,1,3,Northeast Community College,-97.396578,42.048647,15943,17203,15196,16456,7310,8570,15251,15896,15000,15645,7296,7941,,,15401,16601,15301,16501,7324,8524,8079,14947,16102,15165,16320,7107,8262,14576,15716,14974,16114,7154,8294,14312,15392,14884,15964,7064,8144,1316,1352,1372,1419,1535,1554,1414,
Northeast Iowa Community College,8570,8218,10328,IA,4,2,1,2,Northeast Iowa Community College,-91.867105,43.175230,,,20268,20988,11238,11958,,,20148,20868,11118,11838,,,,,20088,20808,11058,11778,8872,,,19968,20568,10938,11538,,,18199,18479,9833,10113,,,18031,18171,9665,9805,1400,1400,1400,1400,1400,1400,1400,
Northeast Lakeview College,6644,6813,6396,TX,4,2,1,3,Northeast Lakeview College,-98.323246,29.545802,,,21170,28700,12216,19746,,,21148,28678,12194,19724,,,,,21750,29280,12940,20470,8082,,,20830,28360,12225,19755,,,20802,27402,12350,18950,,,21698,27148,13330,18780,1000,1000,1674,1491,1190,2078,2074,
Northeast Mississippi Community College,7095,5861,5908,MS,4,2,1,2,Northeast Mississippi Community College,-88.562609,34.668339,14079,17359,21559,24839,10502,13782,13853,16983,21600,24730,9982,13112,,,12252,15664,19964,23376,9355,12767,7877,11636,14476,18953,21793,9125,11965,12432,15132,18330,21030,9230,11930,12304,14554,18843,21093,10291,12541,366,300,150,500,1600,1600,2000,
Northeast State Community College,6322,6364,6506,TN,4,2,1,3,Northeast State Community College,-82.408885,36.484961,,,18625,31441,10125,22941,,,18109,30685,9849,22425,,,,,18133,30709,9873,22449,5119,,,18031,30319,9771,22059,,,17935,29911,9675,21651,,,17839,29503,9579,21243,1460,1400,1400,1400,1400,1400,1200,
Northeast Texas Community College,8858,8474,8217,TX,4,2,1,2,Northeast Texas Community College,-94.881855,33.104931,20361,21801,19138,20578,12649,14089,19989,21429,19138,20578,12649,14089,,,19807,21247,18614,20054,12283,13723,7741,19322,20762,18159,19599,11982,13422,19130,20570,17906,19346,11790,13230,18591,20039,17726,19174,11671,13119,1366,1366,1333,1301,1288,1275,1273,
Northeast Wisconsin Technical College,10194,10207,9164,WI,4,2,1,4,Northeast Wisconsin Technical College,-88.105675,44.526467,,,19030,21145,11230,13345,,,18955,21039,11155,13239,,,,,17777,19825,10367,12415,9761,,,17679,19692,10269,12282,,,17172,19155,10018,12001,,,17112,19067,9958,11913,2096,2096,1960,1960,1819,1819,1742,
Northeastern Junior College,12929,12819,13751,CO,4,2,1,2,Northeastern Junior College,-103.197329,40.637215,20423,22724,25187,27488,13190,15491,19523,21824,24782,27083,12290,14591,,,19406,21640,23873,26107,12173,14407,13563,19406,21640,23873,26107,12173,14407,18514,20683,21357,23526,11601,13770,18256,20310,20568,22622,11496,13550,1800,1800,1800,1800,1800,1800,1800,
Northeastern Oklahoma A&M College,9730,9308,8743,OK,4,2,1,2,Northeastern Oklahoma A&M College,-94.867248,36.877255,16993,23143,20243,26393,10533,16683,16783,22933,19983,26133,10483,16633,,,16783,22933,19983,26133,10483,16633,8315,16258,22670,19408,25820,10008,16420,15698,21488,19198,24988,9578,15368,15198,20838,18368,24008,9198,14838,1340,1320,1320,1260,1200,1130,1100,
Northeastern Technical College,6989,6246,4813,SC,4,2,1,2,Northeastern Technical College,-79.939245,34.698248,,,22214,24976,10458,13220,,,22154,24916,10458,13220,,,,,21702,24318,10006,12622,8448,,,20889,23433,9632,12176,,,20571,23115,9314,11858,,,20581,23077,9324,11820,1700,1700,1700,1625,1625,1625,1575,
Northern Essex Community College,7753,7240,7941,MA,4,2,1,2,Northern Essex Community College,-71.049040,42.796634,,,22584,28368,10794,16578,,,22374,28158,10814,16598,,,,,21704,27488,10484,16268,8674,,,20354,26138,10256,16040,,,19854,25638,10026,15810,,,19522,25306,9784,15568,1400,1400,1400,1400,1400,1400,1400,
Northern Maine Community College,9327,9377,9262,ME,4,2,1,1,Northern Maine Community College,-68.034796,46.694668,18660,21540,17170,20050,10842,13722,18660,21540,17170,20050,10842,13722,,,18571,21391,17081,19901,10753,13573,10021,18571,21391,17081,19901,10753,13573,17739,20499,17021,19781,10693,13453,17366,20126,15926,18686,9548,12308,1400,1400,1400,1400,1400,1400,1980,
Northern New Mexico College,7008,7038,6703,NM,1,1,1,2,Northern New Mexico College,-106.084395,36.004073,,,19346,28070,9292,18016,,,19346,28070,9292,18016,,,,,19346,28070,9292,18016,6271,,,18648,27372,8930,17654,17771,26625,17771,26625,8053,16907,17858,26330,17858,26330,8500,16972,1200,1200,1200,1200,900,1200,1400,
Northern Oklahoma College,7580,7109,7113,OK,4,2,1,2,Northern Oklahoma College,-97.295887,36.678649,16384,23149,15560,22325,11360,18125,13328,18740,12458,17870,8448,13860,,,13160,18560,12290,17690,8280,13680,6308,14250,20820,12980,19550,8970,15540,13945,20065,12675,18795,8665,14785,13075,18685,12485,18095,8475,14085,1200,900,900,900,900,900,900,
Northern Pennsylvania Regional College,,,,PA,5,2,1,1,Northern Pennsylvania Regional College,-79.147078,41.845727,,,19297,23377,8297,12377,,,14354,18434,8173,12253,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,290,290,,,,,
Northern Virginia Community College,9627,9153,9440,VA,4,2,1,5,Northern Virginia Community College,-77.236718,38.833361,,,23961,30044,15001,21084,,,23268,29351,15022,21105,,,,,22808,28891,14648,20731,9685,,,22220,28228,14370,20378,,,21268,27275,13864,19871,,,20641,26611,14283,20253,1800,1800,1800,1800,1800,1800,1800,
Northern Wyoming Community College District,8562,8642,7784,WY,4,2,1,2,Northern Wyoming Community College District,-106.941105,44.763926,15679,21979,19261,25561,8486,14786,15470,21410,18577,24517,8254,14194,,,15349,21289,18715,24655,8275,14215,6308,14404,18916,17689,22201,7519,12031,13846,18358,17178,21690,7187,11699,13423,17695,14791,19063,6591,10863,1400,1400,1400,1600,1600,1500,1367,
Northland College,,,,WI,2,1,1,1,Northland College,-90.874760,46.579087,53032,53032,53032,53032,43344,43344,51734,51734,51734,51734,42046,42046,19826,20547,50372,50372,50372,50372,40966,40966,,48809,48809,48809,48809,39633,39633,47493,47493,47493,47493,38607,38607,45367,45367,45367,45367,36882,36882,800,800,800,800,800,800,800,
Northland Community and Technical College,11952,10243,9992,MN,4,2,1,2,Northland Community and Technical College,-96.162366,48.124969,,,20750,20750,13750,13750,,,19000,19000,12750,12750,,,,,18000,18000,11750,11750,11542,,,17149,17149,11149,11149,,,17149,17149,11149,11149,,,17084,17084,11084,11084,1000,1000,1000,1000,1000,1000,1000,
Northland Pioneer College,7913,10471,9470,AZ,4,2,1,2,Northland Pioneer College,-110.142199,34.930310,,,17404,24826,9328,16750,,,17404,24827,9328,16751,,,,,17356,24336,9280,16260,6236,,,16842,23586,8766,15510,,,16784,23336,8708,15260,,,16736,23096,8660,15020,1400,1400,1400,1400,1400,1400,1400,
Northshore Technical Community College,8604,9835,6693,LA,4,2,1,2,Northshore Technical Community College,-89.899196,30.379147,,,20625,20625,10693,10693,,,20358,20358,10563,10563,,,,,20189,23698,10533,14042,7136,,,18315,21824,9242,12751,,,18315,21824,9242,12751,,,18315,21824,9242,12751,1300,1300,1300,1220,1220,1220,1220,
NorthWest Arkansas Community College,7268,6079,6578,AR,4,2,1,3,NorthWest Arkansas Community College,-94.172890,36.357704,,,18898,19258,8486,8846,,,19750,20110,8065,8425,,,,,19726,20086,8041,8401,6438,,,20317,20392,8839,8914,,,20317,20392,8839,8914,,,20287,20362,8809,8884,1240,1200,1200,1200,1200,1200,1200,
Northwest College,8114,8518,7601,WY,1,1,1,2,Northwest College,-108.761853,44.760656,16137,22437,20544,26844,9390,15690,15190,21130,19759,25699,8726,14666,,,16286,22226,19426,25366,8610,14550,6230,14281,18793,17667,22179,7197,11709,13302,17814,17528,22040,7120,11632,12771,17043,17265,21537,6919,11191,1600,1500,1500,1000,1000,1000,1000,
Northwest College of Art & Design,,,,WA,3,1,1,1,Northwest College of Art & Design,-122.438850,47.252490,,,31537,31537,21846,21846,,,31348,31348,21796,21796,21587,23720,,,30927,30927,21673,21673,,,,33053,33053,24280,24280,,,32009,32009,22462,22462,,,31754,31754,21710,21710,837,827,800,773,747,825,1050,
Northwest Florida State College,5992,6328,6995,FL,1,1,1,2,Northwest Florida State College,-86.474560,30.540017,,,17947,26471,9007,17531,,,17889,26696,8949,17756,,,,,17889,26696,8949,17756,8751,,,17889,26696,8949,17756,,,17889,26696,8949,17756,,,17879,26696,8939,17756,1440,1440,1440,1440,1440,1440,1440,
